set	Cost_sum	Mod_sum	A1	A2	A3	A4	A5	A6
2_13	36	9	14	14	14	12	12	12
1_3	36	8	16	14	12	12	12	10
1_53	36	8	14	14	14	13	12	10
3_6	36	8	16	13	12	12	12	12
3_33	36	8	14	14	14	14	12	8
4_295	36	8	14	14	13	13	12	12
1_4	36	7	15	14	13	12	12	11
1_6	36	7	16	14	14	12	10	8
1_40	36	7	15	14	14	12	11	10
2_7	36	7	16	14	14	10	10	10
2_10	36	7	16	14	12	12	11	11
2_12	36	7	16	14	13	12	12	8
2_24	36	7	16	14	13	12	10	10
2_38	36	7	14	14	14	13	13	8
2_69	36	7	14	14	13	13	13	10
2_81	36	7	15	14	14	12	12	9
3_36	36	7	16	13	13	12	12	10
3_79	36	7	14	14	14	13	11	11
4_246	36	7	15	15	12	12	12	10
4_462	36	7	17	12	12	12	12	10
1_21	36	6	17	14	12	10	10	10
1_23	36	6	16	16	12	12	8	8
1_25	36	6	15	14	14	11	11	11
1_28	36	6	15	14	13	13	11	10
1_29	36	6	15	14	13	13	12	9
1_42	36	6	16	14	14	11	10	9
1_50	36	6	16	14	14	13	8	8
1_60	36	6	16	14	13	11	11	10
1_62	36	6	16	13	13	12	11	11
1_64	36	6	15	14	14	13	11	8
1_71	36	6	15	15	13	12	10	10
1_72	36	6	16	15	12	11	10	10
1_94	36	6	17	14	12	12	10	8
1_97	36	6	16	14	13	12	11	9
2_1	36	6	17	13	12	12	10	10
2_4	36	6	15	13	13	13	12	11
2_6	36	6	16	14	14	12	9	9
2_9	36	6	15	15	14	12	10	8
2_15	36	6	16	15	12	12	11	8
2_17	36	6	16	13	13	13	12	8
2_18	36	6	16	16	12	10	10	8
2_27	36	6	16	15	12	12	10	9
2_29	36	6	15	15	12	12	11	11
2_36	36	6	18	12	12	12	10	8
2_37	36	6	15	14	14	13	10	9
2_65	36	6	17	12	12	12	11	11
2_70	36	6	15	15	13	12	12	8
2_79	36	6	16	14	13	13	10	8
2_85	36	6	16	13	13	13	10	10
3_71	36	6	16	14	14	11	11	8
4_5	36	6	18	12	12	10	10	10
4_50	36	6	15	14	14	14	9	8
4_76	36	6	17	13	12	12	12	8
4_99	36	6	15	15	14	10	10	10
4_272	36	6	16	16	10	10	10	10
1_1	36	5	16	15	13	11	10	8
1_2	36	5	17	14	13	12	8	8
1_10	36	5	16	15	13	12	9	8
1_11	36	5	18	13	12	10	10	8
1_14	36	5	18	12	11	11	10	10
1_15	36	5	17	14	14	10	8	8
1_16	36	5	16	16	12	10	9	9
1_17	36	5	17	14	12	11	10	9
1_18	36	5	15	15	14	11	10	9
1_26	36	5	16	14	13	13	9	9
1_30	36	5	18	12	12	11	11	8
1_34	36	5	18	14	10	10	10	8
1_35	36	5	16	16	12	11	9	8
1_36	36	5	17	13	12	12	11	9
1_47	36	5	17	14	13	10	10	8
1_59	36	5	17	14	11	11	10	10
1_75	36	5	16	16	14	8	8	8
1_78	36	5	16	15	14	10	9	8
1_81	36	5	15	15	14	13	8	8
1_82	36	5	17	13	13	12	10	8
1_92	36	5	16	15	14	11	8	8
1_100	36	5	18	12	12	11	10	9
5_5	36	5	17	13	12	11	11	10
5_13	36	5	18	14	12	10	8	8
5_20	36	5	15	15	14	12	9	9
5_25	36	5	16	13	13	13	11	9
5_33	36	5	18	12	12	12	9	9
5_36	36	5	17	14	12	11	11	8
5_37	36	5	15	15	13	11	11	10
5_49	36	5	16	15	13	10	10	9
5_55	36	5	16	15	11	11	11	10
5_63	36	5	16	16	13	10	8	8
5_90	36	5	18	13	12	12	8	8
5_100	36	5	16	16	11	10	10	9
5_113	36	5	17	14	12	12	9	9
5_131	36	5	16	15	12	11	11	9
5_166	36	5	16	16	11	11	10	8
5_171	36	5	15	15	14	11	11	8
5_179	36	5	15	15	13	12	11	9
5_268	36	5	15	15	13	13	10	8
5_305	36	5	15	13	13	13	13	9
5_433	36	5	18	13	10	10	10	10
5_602	36	5	17	13	13	10	10	10
1_8	36	4	17	15	11	10	10	8
1_12	36	4	17	13	13	11	11	8
1_19	36	4	18	13	11	11	10	8
1_20	36	4	17	14	13	11	9	8
1_32	36	4	18	13	12	11	9	8
1_38	36	4	18	13	13	10	8	8
1_41	36	4	16	16	13	9	9	8
1_43	36	4	18	14	11	11	8	8
1_44	36	4	18	12	11	11	11	9
1_46	36	4	17	15	12	11	8	8
1_54	36	4	18	14	10	10	9	9
1_63	36	4	18	13	12	10	9	9
1_65	36	4	15	15	13	13	9	9
1_73	36	4	16	15	13	11	9	9
1_76	36	4	17	14	13	10	9	9
1_77	36	4	18	11	11	11	11	10
1_79	36	4	17	14	14	9	9	8
1_98	36	4	17	15	12	10	9	8
1_99	36	4	17	15	10	10	10	9
5_9	36	4	18	13	11	10	10	9
5_10	36	4	17	16	12	8	8	8
5_41	36	4	17	13	13	11	10	9
5_42	36	4	18	14	11	10	9	8
5_53	36	4	18	14	13	8	8	8
5_122	36	4	17	13	13	12	9	9
5_124	36	4	18	14	12	9	9	8
5_135	36	4	16	16	11	11	9	9
5_136	36	4	15	15	15	11	8	8
5_142	36	4	16	15	15	8	8	8
5_213	36	4	17	14	11	11	11	9
5_282	36	4	15	15	15	10	9	8
5_329	36	4	17	13	11	11	11	11
5_348	36	4	16	15	14	9	9	9
5_413	36	4	17	16	10	10	8	8
5_460	36	4	17	13	13	13	8	8
1_5	36	3	17	15	11	11	9	8
1_7	36	3	17	15	12	9	9	9
1_9	36	3	17	15	13	9	8	8
1_24	36	3	18	13	13	9	9	8
1_68	36	3	18	15	10	9	8	8
1_69	36	3	18	14	11	9	9	9
1_80	36	3	17	16	10	9	9	8
5_4	36	3	18	13	11	11	9	9
5_23	36	3	17	15	11	10	9	9
5_78	36	3	18	15	11	8	8	8
5_146	36	3	17	16	11	9	8	8
5_59	36	2	18	15	9	9	9	8
