Passed_values	Cost_sum	Mod_sum	Str	Dex	Con	Int	Wis	Cha
3	36	8	16	14	12	12	12	10
53	36	8	14	14	14	13	12	10
4	36	7	15	14	13	12	12	11
6	36	7	16	14	14	12	10	8
40	36	7	15	14	14	12	11	10
21	36	6	17	14	12	10	10	10
23	36	6	16	16	12	12	8	8
25	36	6	15	14	14	11	11	11
28	36	6	15	14	13	13	11	10
29	36	6	15	14	13	13	12	9
42	36	6	16	14	14	11	10	9
50	36	6	16	14	14	13	8	8
60	36	6	16	14	13	11	11	10
62	36	6	16	13	13	12	11	11
64	36	6	15	14	14	13	11	8
71	36	6	15	15	13	12	10	10
72	36	6	16	15	12	11	10	10
94	36	6	17	14	12	12	10	8
97	36	6	16	14	13	12	11	9
1	36	5	16	15	13	11	10	8
2	36	5	17	14	13	12	8	8
10	36	5	16	15	13	12	9	8
11	36	5	18	13	12	10	10	8
14	36	5	18	12	11	11	10	10
15	36	5	17	14	14	10	8	8
16	36	5	16	16	12	10	9	9
17	36	5	17	14	12	11	10	9
18	36	5	15	15	14	11	10	9
26	36	5	16	14	13	13	9	9
30	36	5	18	12	12	11	11	8
34	36	5	18	14	10	10	10	8
35	36	5	16	16	12	11	9	8
36	36	5	17	13	12	12	11	9
47	36	5	17	14	13	10	10	8
59	36	5	17	14	11	11	10	10
75	36	5	16	16	14	8	8	8
78	36	5	16	15	14	10	9	8
81	36	5	15	15	14	13	8	8
82	36	5	17	13	13	12	10	8
92	36	5	16	15	14	11	8	8
100	36	5	18	12	12	11	10	9
8	36	4	17	15	11	10	10	8
12	36	4	17	13	13	11	11	8
19	36	4	18	13	11	11	10	8
20	36	4	17	14	13	11	9	8
32	36	4	18	13	12	11	9	8
38	36	4	18	13	13	10	8	8
41	36	4	16	16	13	9	9	8
43	36	4	18	14	11	11	8	8
44	36	4	18	12	11	11	11	9
46	36	4	17	15	12	11	8	8
54	36	4	18	14	10	10	9	9
63	36	4	18	13	12	10	9	9
65	36	4	15	15	13	13	9	9
73	36	4	16	15	13	11	9	9
76	36	4	17	14	13	10	9	9
77	36	4	18	11	11	11	11	10
79	36	4	17	14	14	9	9	8
98	36	4	17	15	12	10	9	8
99	36	4	17	15	10	10	10	9
5	36	3	17	15	11	11	9	8
7	36	3	17	15	12	9	9	9
9	36	3	17	15	13	9	8	8
24	36	3	18	13	13	9	9	8
68	36	3	18	15	10	9	8	8
69	36	3	18	14	11	9	9	9
80	36	3	17	16	10	9	9	8
