Talent	Attribute_1	Modifier_1	Attribute_2	Modifier_2	Attribute_3	Modifier_3	Benefit_1	Benefit_2	Benefit_3	Benefit_4	Benefit_5	Base_speed	Requirements	Summary
Adaptable	No	0	No	0	No	0	Grace_Under_Pressure	Inquisitive_Mind	Mix_Up	No	No	30	No	You can find a solution to almost any problem and it’s often wholly unexpected.
Agile	Dex	2	No	0	No	0	Double_boost_Dex	Natural_Elegance	Parry	No	No	30	No	Your body is quicker than most eyes!
Aesonian_cloak_n_dagger	Cha	2	Con	-2	No	0	Celebrated	Encouragement	Enlightened_Impress	Sharp_Mind	No	30	No	The blue-blooded inheritors of ancient Aesonia have kept their ancestors’ ideals of excellence and beauty alive to the present day
Charismatic	Cha	2	No	0	No	0	Charming	Double_boost_Cha	Encouragement	No	No	30	No	Your natural presence is almost overwhelming.
Crusading	Any	2	Any	-2	No	0	Crunch!	Iron_Will	Higher_Calling	Sterner_Stuff	No	30	Alignment	You focus is… intense.
Cunning	Dex	2	Cha	-2	No	0	Charming	Cheap_Shot	Sharp_Mind	Tenacious_Spirit	No	30	No	You’re a survivor who considers every angle and how to exploit it.
Educated	Int	2	Dex	-2	No	0	Broad_Learning	If_I_Recall...	Linguist	Slow_and_Steady	No	30	No	You enjoy all the advantages of a higher education.
Gifted	Any	2	Any	-2	No	0	Basic_Skill_Mastery	Limited_Proficiencies	Origin_Skill	Sharp_Mind	No	30	No	You’ve found your calling... and mastered i
Grizzled	Con	2	Dex	-2	No	0	Agile_Defence	Last_Chance	Rock_Solid	No	No	30	No	You’ve survived things other folk can barely imagine
Hardy	Con	2	No	-2	No	0	Double_Boost_Con	Iron_Gut	Thick_Hide_II	No	No	30	No	You feel the blows but they don’t really bother you much
Industrious	Con	1	No	0	No	0	Charming	Encouragement	Enlightened_Crafting	Yeoman's_Work	No	30	No	You always put your time to good use
Intelligent	Int	2	No	0	No	0	Double_Boost_Int	Split_Decision	No	No	No	30	No	You’ve always been the sharpest knife in the drawer.
Methodical	Wis	1	No	0	No	0	Enlightened_Haggle	Enlightened_Investigate	Free_Hint	Origin_Skill	Slow_and_Steady	30	No	Your thinking may sometimes seem slow and ponderous to others, but you tend to uncover the truth of things with few missteps.
Nimble	Dex	2	Str	-2	No	0	Called_Shot	Cat_Fall	Enlightened_Acrobatics	Last_Chance	No	40	No	You’re light on your feet and quick to avoid harm.
Ruthless	Any	1	Any	1	No	0	Always_Ready	Cheap_Shot	Menacing_Threat	No	No	30	No	Whatever it takes, you’re always up for the challenge.
Savage	Str	2	Int	-2	No	0	Enlightened_Survival	Great_Fortitude	Lean_Season	No	No	40	No	You’re untamed, born and bred far outside civilization
